decoration,elevator,location,orientation,pattern,property,size,total_price,unit_price,village
简装,无电梯,刘家窑,南 北,2室1厅,1992年建板楼,58.51平米,330,56401,石榴园北里小区 
精装,无电梯,六里桥,南 北,2室1厅,1999年建板楼,83.07平米,490,58987,六里桥7号院 
精装,无电梯,看丹桥,南 北,2室1厅,1992年建板楼,56.83平米,330,58068,韩庄子二里 
简装,1室1厅,玉泉营,南 北,2室1厅,1988年建板楼,56.15平米,300,53429,新村四里 
简装,有电梯,科技园区,东南,1室1厅,2001年建塔楼,68.71平米,430,62582,怡海花园富泽园 
精装,无电梯,七里庄,东 西,2室1厅,1997年建板楼,69.98平米,440,62876,泥洼路5号院 
简装,有电梯,宋家庄,东北,2室1厅,2001年建塔楼,120.5平米,595,49378,方安苑 
简装,无电梯,玉泉营,南 北,3室1厅,2002年建板楼,119.13平米,735,61698,汇丰家园 
简装,有电梯,北大地,西南,3室1厅,2000年建塔楼,148.62平米,820,55175,文体路38号院 
简装,无电梯,西罗园,南 北,3室1厅,板楼,68.7平米,380,55313,海户屯 
简装,有电梯,科技园区,南 北,2室1厅,1998年建板塔结合,87.71平米,520,59287,怡海花园富泽园 
精装,无电梯,看丹桥,南 北,2室1厅,1989年建板楼,57.4平米,350,60976,韩庄子三里 
简装,有电梯,北大地,南 西 东北,3室1厅,2000年建塔楼,103.6平米,620,59846,文体路38号院 
毛坯,无电梯,看丹桥,南 北,2室1厅,1988年建板楼,53.95平米,310,57461,韩庄子西里 
精装,有电梯,玉泉营,西南,2室1厅,2006年建塔楼,96.72平米,550,56866,三环新城8号院 
简装,有电梯,玉泉营,西北,1室1厅,2006年建板塔结合,66.76平米,420,62912,万年花城三期 
简装,无电梯,五里店,南 北,2室1厅,1990年建板楼,58平米,258,44483,程庄路68号院 
其他,有电梯,太平桥,西南,1室1厅,1991年建塔楼,46.9平米,350,74627,太平桥小区 
简装,有电梯,西罗园,南,2室1厅,2007年建板塔结合,117.56平米,620,52740,珠江骏景南区 
精装,2室1厅,玉泉营,南,2室1厅,2009年建板塔结合,90.12平米,490,54372,鸿业兴园二区 
简装,无电梯,玉泉营,南 西,2室1厅,1998年建板楼,70.38平米,400,56835,育菲园东里 
其他,有电梯,玉泉营,东 西,2室1厅,2006年建板楼,87.82平米,561,63881,万年花城二期 
简装,有电梯,看丹桥,南 北,3室2厅,2000年建板塔结合,131.74平米,670,50858,看丹苑 
精装,有电梯,七里庄,北,1室1厅,2004年建板楼,44.39平米,277,62402,保利欣苑 
简装,有电梯,玉泉营,南 北,1室1厅,2006年建板塔结合,69.42平米,395,56901,彩虹街区 
精装,有电梯,玉泉营,东,1室1厅,2006年建塔楼,66.3平米,390,58824,三环新城8号院 
简装,有电梯,科技园区,西南,2室1厅,2001年建塔楼,106.33平米,568,53419,怡海花园富泽园 
精装,有电梯,玉泉营,南 北,3室1厅,2011年建板楼,89.16平米,580,65052,青秀城 
简装,有电梯,玉泉营,南,2室1厅,2007年建板楼,100.08平米,645,64449,优筑 
简装,无电梯,北大地,南 北,2室1厅,1989年建板楼,58.1平米,345,59381,西安街甲2号 
其他,有电梯,科技园区,东,1室1厅,2003年建塔楼,71.45平米,415,58083,怡锦园 
其他,有电梯,玉泉营,南 北,3室2厅,2007年建板楼,147.17平米,1020,69308,优筑 
简装,无电梯,七里庄,南 北,2室1厅,1994年建板楼,59.81平米,358,59857,望园西里 
精装,有电梯,玉泉营,南 北,3室1厅,2011年建板楼,89.98平米,645,71683,青秀城 
精装,有电梯,木樨园,西北,2室1厅,2001年建塔楼,90.13平米,460,51038,慧时欣园 
其他,有电梯,太平桥,东南 北,3室1厅,1990年建塔楼,80平米,548,68500,太平桥小区 
其他,有电梯,科技园区,西南,3室1厅,2005年建塔楼,156.47平米,1080,69023,怡海花园恒泰园 
精装,有电梯,玉泉营,南,1室0厅,2006年建板楼,56.61平米,396,69953,万年花城三期 
精装,无电梯,宋家庄,南,2室1厅,1988年建板楼,61.24平米,335,54703,横一条 
精装,无电梯,玉泉营,南 北,2室1厅,2005年建板楼,93.29平米,545,58420,枫泽园 
精装,无电梯,看丹桥,东,1室1厅,1992年建板楼,39.33平米,252,64074,韩庄子东里 
精装,有电梯,玉泉营,南 北,3室1厅,2006年建板楼,127.38平米,800,62805,万年花城三期 
简装,有电梯,北大地,东 北,2室1厅,2004年建塔楼,80.27平米,486,60546,正阳小区 
简装,有电梯,科技园区,南 北,3室2厅,1998年建板塔结合,116.27平米,697,59947,怡海花园富泽园 
精装,无电梯,玉泉营,南 北,3室2厅,1998年建板楼,93.18平米,515,55270,育菲园东里 
精装,无电梯,北大地,东 北,2室1厅,1981年建板楼,51.2平米,290,56641,北大地四里 
简装,无电梯,七里庄,南 北,2室1厅,1993年建板楼,60.86平米,345,56688,泥洼路5号院 
简装,无电梯,马家堡,东 南 北,2室1厅,2000年建板楼,66.46平米,395,59435,富卓苑 
精装,有电梯,青塔,南 北,3室2厅,2008年建板楼,170.09平米,1180,69376,万科紫苑 
简装,有电梯,卢沟桥,南,3室1厅,2009年建板塔结合,120.75平米,475,39338,沸城 
精装,有电梯,五里店,南 北,3室1厅,2005年建板楼,116.7平米,618,52957,和光里 
简装,无电梯,新宫,南 北,3室1厅,2004年建板楼,91.69平米,408,44498,飞腾家园 
精装,无电梯,宋家庄,南,2室1厅,1988年建板楼,50.75平米,294,57932,横一条 
简装,有电梯,卢沟桥,南 北,3室1厅,2007年建板塔结合,124.48平米,508,40810,沸城 
精装,有电梯,玉泉营,南,2室1厅,2011年建板楼,72.6平米,370,50965,青秀雅苑 
简装,有电梯,七里庄,南 北,3室1厅,2004年建板楼,127.65平米,865,67764,保利欣苑 
简装,有电梯,七里庄,南 西,3室1厅,1999年建塔楼,99.01平米,580,58580,望园东里 
简装,有电梯,马连道,东,2室1厅,2008年建塔楼,93.19平米,560,60093,建茗苑 
简装,无电梯,北大地,南,2室1厅,1982年建板楼,49.88平米,319,63954,北大地一里 
简装,2室1厅,五里店,南 北,2室1厅,1990年建板楼,58.71平米,255,43434,丰西北里 
简装,有电梯,马连道,西南,2室1厅,2007年建塔楼,75.18平米,570,75819,丽泽雅园 
